business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,attributes,categories,hours
5XelZjHymGydI5qKE8BOrA,Yellow Garage Antiques,66 S Main St,Mullica Hill,NJ,08062,39.730892,-75.2245237,4.5,7,1,,"Antiques, Shopping","{'Wednesday': '11:0-17:0', 'Thursday': '11:0-17:0', 'Friday': '11:0-17:0', 'Saturday': '11:0-17:0', 'Sunday': '11:0-17:0'}"
XNWVT7tR7yAzCyf0VQ-ijA,Groove Room Studios,3668A Central Pike,Nashville,TN,37076,36.181686,-86.624583,4.5,10,1,"{'GoodForKids': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'BikeParking': 'True', 'BusinessAcceptsCreditCards': 'True', 'WheelchairAccessible': 'True', 'ByAppointmentOnly': 'False'}","Fitness & Instruction, Yoga, Dance Studios, Active Life","{'Monday': '16:15-19:30', 'Tuesday': '17:15-19:30', 'Wednesday': '17:15-19:30', 'Thursday': '17:15-19:30', 'Friday': '8:15-9:30', 'Saturday': '8:45-11:30', 'Sunday': '16:15-18:30'}"
Tuzyf8Z-R_i661AeJAc9QQ,Indigo Point,1850 Providence Lakes Blvd,Brandon,FL,33511,27.9112563,-82.315876,2.0,5,1,{'ByAppointmentOnly': 'False'},"Apartments, Home Services, Real Estate","{'Monday': '9:0-18:0', 'Tuesday': '9:0-18:0', 'Wednesday': '9:0-18:0', 'Thursday': '9:0-18:0', 'Friday': '9:0-18:0', 'Saturday': '10:0-17:0', 'Sunday': '13:0-17:0'}"
kLSEk3qXY1KdtFjxHJ9pww,McDonald's,501 Franklin Mill Cir,Philadelphia,PA,19154,40.0884161,-74.9650112,1.5,20,1,"{'BusinessAcceptsCreditCards': 'True', 'RestaurantsGoodForGroups': 'True', 'RestaurantsAttire': ""'casual'"", 'RestaurantsPriceRange2': '1', 'GoodForKids': 'True', 'OutdoorSeating': 'False', 'RestaurantsReservations': 'False', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'HasTV': 'True', 'DriveThru': 'True', 'RestaurantsTakeOut': 'True', 'BikeParking': 'False', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'RestaurantsDelivery': 'True'}","Restaurants, Fast Food, Food, Coffee & Tea, Burgers","{'Monday': '5:30-0:0', 'Tuesday': '5:30-0:0', 'Wednesday': '5:30-0:0', 'Thursday': '5:30-0:0', 'Friday': '5:30-1:0', 'Saturday': '5:30-1:0', 'Sunday': '7:0-23:0'}"
HPpKVvBT-2EeWNdy9cIjqA,Bus Depot Discount VW Parts,4801 Gravel Pike,Perkiomenville,PA,18074,40.3263279,-75.4768237,1.5,20,1,{'BusinessAcceptsCreditCards': 'True'},"Auto Parts & Supplies, Automotive","{'Monday': '10:0-19:0', 'Tuesday': '10:0-19:0', 'Wednesday': '10:0-19:0', 'Thursday': '10:0-19:0', 'Friday': '10:0-19:0'}"
zjQDk4tZyhEroyqtkgvx0g,The Cobblestone Eatery and Drinkery,115 W St Louis St,Lebanon,IL,62254,38.6041071,-89.8085329,3.5,52,1,"{'RestaurantsDelivery': 'False', 'BestNights': ""{'monday': False, 'tuesday': False, 'friday': False, 'wednesday': False, 'thursday': False, 'sunday': False, 'saturday': False}"", 'Music': ""{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': False, 'video': False, 'karaoke': False}"", 'WiFi': ""u'free'"", 'BikeParking': 'False', 'Caters': 'False', 'OutdoorSeating': 'True', 'RestaurantsReservations': 'False', 'ByAppointmentOnly': 'False', 'GoodForDancing': 'False', 'Alcohol': ""u'full_bar'"", 'DogsAllowed': 'False', 'RestaurantsGoodForGroups': 'True', 'HasTV': 'True', 'RestaurantsPriceRange2': '2', 'WheelchairAccessible': 'True', 'NoiseLevel': ""u'average'"", 'CoatCheck': 'False', 'GoodForKids': 'True', 'HappyHour': 'True', 'Smoking': ""u'outdoor'"", 'RestaurantsTableService': 'True', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsTakeOut': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'GoodForMeal': ""{u'breakfast': None, u'brunch': None, u'lunch': None, u'dinner': True, u'latenight': None, u'dessert': None}"", 'BusinessAcceptsBitcoin': 'False', 'Ambience': ""{u'divey': None, u'hipster': False, u'casual': True, u'touristy': False, u'trendy': None, u'intimate': None, u'romantic': False, u'classy': None, u'upscale': None}""}","American (Traditional), Nightlife, Breakfast & Brunch, Event Planning & Services, Venues & Event Spaces, Italian, Bars, Restaurants","{'Monday': '11:0-2:0', 'Tuesday': '11:0-2:0', 'Wednesday': '11:0-2:0', 'Thursday': '11:0-2:0', 'Friday': '11:0-2:0', 'Saturday': '11:0-2:0', 'Sunday': '11:0-2:0'}"
zaaX5EzJDNxhzIFywyxYKg,Wesley Chapel Florist,"2653 Bruce B Downs, Ste 108",Wesley Chapel,FL,33544,28.1948998,-82.3542155,2.5,6,0,"{'BusinessAcceptsCreditCards': 'True', 'BikeParking': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsDelivery': 'True', 'RestaurantsPriceRange2': '4', 'ByAppointmentOnly': 'False'}","Florists, Shopping, Flowers & Gifts","{'Monday': '9:0-16:0', 'Tuesday': '9:0-16:0', 'Wednesday': '9:0-16:0', 'Thursday': '9:0-16:0', 'Friday': '9:0-16:0', 'Saturday': '10:0-12:0'}"
NNcqCDV6PHhDmKY8fO6S9g,Reeder's Auto Tint & Ceramic Coatings,"13355 Belcher Rd S, Ste 201",Largo,FL,33773,27.8928435529,-82.7453122398,4.5,27,1,"{'WiFi': ""u'free'"", 'ByAppointmentOnly': 'True', 'BusinessAcceptsCreditCards': 'True'}","Home Window Tinting, Car Window Tinting, Auto Detailing, Automotive, Vehicle Wraps, Home Services, Auto Glass Services, Auto Parts & Supplies","{'Monday': '8:0-17:0', 'Tuesday': '8:0-17:0', 'Wednesday': '8:0-17:0', 'Thursday': '8:0-17:0', 'Friday': '8:0-17:0'}"
LvFmVnPSbi0lmgpcK_qw-Q,Foot Locker,1519 Chestnut Street,Philadelphia,PA,19102,39.9514625,-75.1662577,2.0,12,1,"{'RestaurantsPriceRange2': '3', 'BusinessAcceptsCreditCards': 'True', 'BikeParking': 'True', 'BusinessParking': ""{'garage': None, 'street': True, 'validated': None, 'lot': None, 'valet': False}""}","Fashion, Men's Clothing, Shopping, Shoe Stores, Sporting Goods, Sports Wear",
Y6t4pnKm5LF8y5ChHA27ow,Meineke Car Care Center,2632 Land O Lakes Blvd,Land O Lakes,FL,34639,28.1961683557,-82.464425454,4.5,27,1,{'BusinessAcceptsCreditCards': 'True'},"Auto Repair, Automotive, Tires, Oil Change Stations","{'Monday': '0:0-0:0', 'Tuesday': '7:30-18:0', 'Wednesday': '7:30-18:0', 'Thursday': '7:30-18:0', 'Friday': '7:30-18:0', 'Saturday': '7:30-16:0'}"
q2N2KLhAeD0c0p-ryI3uDg,HotBox Pizza,124 E Northfield Dr,Brownsburg,IN,46112,39.85806,-86.390022,3.5,14,1,{'RestaurantsReservations': 'False'},"Pizza, Food, Food Delivery Services, Salad, Restaurants, Gluten-Free","{'Monday': '11:0-22:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-23:0', 'Saturday': '11:0-23:0', 'Sunday': '16:0-21:0'}"
-4dYswJy7SPcbcERvitmIg,Pathmark,3021 Grays Ferry Ave,Philadelphia,PA,19146,39.9404026,-75.1932966,2.5,34,0,"{'RestaurantsPriceRange2': '2', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'BusinessAcceptsCreditCards': 'True', 'BikeParking': 'True'}","Food, Grocery","{'Monday': '6:0-1:0', 'Tuesday': '6:0-1:0', 'Wednesday': '6:0-1:0', 'Thursday': '6:0-1:0', 'Friday': '6:0-1:0', 'Saturday': '6:0-1:0', 'Sunday': '6:0-1:0'}"
HCbJPXWXvwN-C7XfmVy3gA,Granite City Food & Brewery,"49 W Maryland St, Ste B03A",Indianapolis,IN,46204,39.7664200969,-86.1592453161,3.5,258,0,"{'RestaurantsGoodForGroups': 'True', 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'HasTV': 'True', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': True, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsTakeOut': 'True', 'GoodForKids': 'True', 'Caters': 'True', 'OutdoorSeating': 'True', 'RestaurantsAttire': ""u'casual'"", 'Alcohol': ""u'full_bar'"", 'NoiseLevel': ""u'average'"", 'RestaurantsReservations': 'True', 'BikeParking': 'True', 'RestaurantsPriceRange2': '2', 'RestaurantsDelivery': 'None', 'HappyHour': 'True', 'WiFi': ""u'free'"", 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}""}","Desserts, Breweries, Breakfast & Brunch, Restaurants, Barbeque, American (New), Food, American (Traditional)","{'Monday': '11:0-18:0', 'Tuesday': '11:0-0:0', 'Wednesday': '11:0-0:0', 'Thursday': '11:0-0:0', 'Friday': '11:0-0:0', 'Saturday': '11:0-1:0', 'Sunday': '8:0-21:0'}"
pYscac0LOY0UTu6zuC4VAA,Midas,333 W Valencia Rd,Tucson,AZ,85706,32.1335999945,-110.9745180774,2.5,14,1,{'BusinessAcceptsCreditCards': 'True'},"Auto Repair, Automotive, Oil Change Stations, Tires","{'Monday': '7:30-18:0', 'Tuesday': '7:30-18:0', 'Wednesday': '7:30-18:0', 'Thursday': '7:30-18:0', 'Friday': '7:30-18:0', 'Saturday': '7:30-18:0'}"
